description,label,bridge
Salt extraction and refining,8930,QRSYW
Tobacco industry,12000,QRSYY
Fallow farming - non-classifiable,1500,QRSYZ
"Manufacture of basket ware, wickerwork and other articles of plaiting material",16290,QRTQQ
Wallpapers and wall coverings,17240,QRTQR
Paper and board products not elsewhere specified,17290,QRTQS
Printing and publishing periodicals,58142,QRTQT
Mineral oil processing,19201,QRTQU
Dyestuffs and pigments,20120,QRTQV
Inorganic chemicals and industrial gases,20130,QRTQW
Organic chemicals,20140,QRTQX
Synthetic resins and plastics materials,20160,QRTQY
Manufacture of cork and cork articles,16290,QRTQZ
Manufacture rubber or plastic hose and tubing,22190,QRTRQ
Manufacture plastic building products,22230,QRTRR
Glass containers,23130,QRTRS
Asbestos goods,23990,QRTRT
Iron and steel - general,24100,QRTRU
"Copper, brass and other copper alloys",24440,QRTRV
Steelwork,25110,QRTRW
Metal doors and windows etc,25120,QRTRX
"Metal forgings, pressings and stampings etc",25500,QRTRY
Pesticides,20200,QRTRZ
"Foil packaging goods, metallic closures and other packaging products of metal",25920,QRTSQ
"Nuts, bolts, screws, springs, non-precision chains etc",25940,QRTSR
Domestic and similar utensils of metal,25710,QRTSS
Industrial engines,28110,QRTST
Compressed air and hydraulic power,28120,QRTSU
"Compressors, hydraulic and pneumatic control equipment",28120,QRTSV
"Precision chains, bearings and other mechanical power transmission equipment",28150,QRTSW
"Industrial refrigerating machinery, space heating equipment, fans and air conditioning",28250,QRTSX
Metal working (non portable) machine tools (power-driven),28490,QRTSY
Manufacture of (non-power driven) hand tools,25730,QRTSZ
Domestic heating and cooking appliances (non-electrical),27520,QRTTQ
Basic electrical equipment and machinery,27900,QRTTR
"Batteries, accumulators and industrial electrical equipment",27200,QRTTS
Audio and visual broadcast receiving and production equipment and components not elsewhere specified,26110,QRTTT
Orthopaedic appliances and artificial limbs etc,32500,QRTTU
"Medical, surgical and veterinary equipment",32500,QRTTV
Dental instruments and appliances,32500,QRTTW
"Electrical instruments and appliances for measuring, checking, testing and navigating",26511,QRTTX
"Electrical measuring equipment, radio etc",26511,QRTTY
"Ordnance, small arms and ammunition",25400,QRTTZ
Cars and commercial vehicles (including engines),29100,QRTUQ
"Motor vehicle parts (except electrical, glass or rubber)",29320,QRTUR
"Railway carriages, wagons, trams and other railway stock (inc repair)",30200,QRTUS
Manufacture and repair of aircraft and spacecraft and parts including engines and components,33160,QRTUT
"Manufacture and repair of satellites, spacecraft and other high technology aerospace (e.g. rockets)",33160,QRTUU
"Manufacture and repair of aerospace equipment not elsewhere specified (e.g. helicopter, hovercraft, glider, guided weapons etc)",33160,QRTUV
Motor cycles and parts,30910,QRTUW
Pedal cycles and parts,30920,QRTUX
Manufacture of shop and office fitments,31010,QRTUY
"Non-electrical measuring, checking and precision instruments and apparatus",26513,QRTUZ
Manufacture linoleum and hard surface floor coverings,22230,QRTVQ
Other manufacturing and processing not elsewhere specified,32990,QRTVR
Energy production not elsewhere specified (including steam/hot water),35300,QRTVS
Asphalting and tar spraying,42110,QRTVT
Reinforced concrete specialists,43999,QRTVU
Insulating specialists,43290,QRTVV
Fixtures and fittings installers not elsewhere specified,43210,QRTVW
Carpet fitter or planner,43330,QRTVX
Construction plant hire with operatives,43999,QRTVY
"Pens, pencils and other stationer's goods (except paper)",32990,QRTVZ
Bullion dealer,46120,QRTWQ
Textiles,46410,QRTWR
Paper and board products including reading material,46499,QRTWS
Oil distribution (outside uk),46719,QRTWT
Dealers in scrap and waste materials,46770,QRTWU
Agricultural machinery,46610,QRTWV
Bread and flour confectioners,47240,QRTWW
Off licences,47250,QRTWX
Dairymen,47290,QRTWY
Motor vehicle repair and maintenance (including body work and electrical),45400,QRTWZ
Furnishing fabrics and household textiles,47530,QRTXQ
"Radios, record players etc, electrical goods and appliances (not rental)",47430,QRTXR
Music shop (including gramophone records etc),47591,QRTXS
Repair of consumer goods not elsewhere specified (not motor vehicles),95290,QRTXT
Tourist and short stay accommodation not elsewhere specified,55209,QRTXU
Other restaurants,56101,QRTXV
"Cafes, snack bars and other eating places",56102,QRTXW
Urban railways,49100,QRTXX
"Bus, co hires/tours etc",49390,QRTXY
General clothing and infants' wear,47710,QRTXZ
"Security transport, removal contractor and other road haulage",49410,QRTYQ
Transport via pipelines and operation of land terminals for storage,49500,QRTYR
Inland water transport,50300,QRTYS
"Car parks, toll bridges and other supporting services to land transport",52219,QRTYT
Tourist offices,79909,QRTYU
Transport and transport services not elsewhere specified,52290,QRTYV
Uk branches of foreign banks,64191,QRTYW
Pawn broker (excluding sales),64921,QRTYX
Consumer credit grantors (hire purchase),64921,QRTYY
Road haulage contracting for general hire or reward (hire of vehicles without drivers is proper to 7004),49410,QRTYZ
Weatherproof outerwear,14132,QRTZQ
"Hats, caps and millinery",14190,QRTZR
Clothing and dress not elsewhere specified,14190,QRTZS
Fur goods,14200,QRTZT
Travel goods (including imitation leather and plastic),15120,QRTZU
Handbags (including imitation leather and plastic),15120,QRTZV
Footwear (all materials),15200,QRTZW
"Manufacture of veneers, plywood, boxwood and other semi finished wood products and wood treatment/preservation",16210,QRTZX
Manufacture of other wooden articles (except furniture),16290,QRTZY
"Textile finishing processes, including bleaching, dying and printing etc",13300,QRTZZ
Professional or technical activities not elsewhere specified,71129,QRUQQ
Free-lance copy writers,73110,QRUQR
Pest destruction (non-agricultural),81291,QRUQS
Cleaning services not elsewhere specified,81299,QRUQT
Photographic studios,74209,QRUQU
"Document copying, duplicating and tabulating services",82190,QRUQV
Typing services,82190,QRUQW
National defence (forces),84220,QRUQX
Hm forces,84220,QRUQY
Tax consultants,69203,QRUQZ
Acupuncturists,86900,QRURQ
Social and residential homes not elsewhere specified,87900,QRURR
Trade protection associations operating under the board's arrangements only,94110,QRURS
"Professional, scientific and business organisations",94120,QRURT
Religious bodies etc,94910,QRURU
"Performers, entertainers and artists (other than sportsmen) not elsewhere specified",90010,QRURW
Sportsmen - professional,93120,QRURX
Betting and gambling not elsewhere specified,92000,QRURY
Physiotherapists,86900,QRURZ
"Laundries, laundrettes, dry cleaning and allied services",96010,QRUSQ
Domestic services,96090,QRUSR
Domestic service (employees - not own account),97000,QRUSS
Foreign government and international organisation service,99000,QRUST
All aspects of agricultural work including growing wheat for thatching reed,1110,QRUSV
Arable,1110,QRUSW
Arable farmers,1110,QRUSX
Crop variety trials,1130,QRUSY
Recreational services not elsewhere specified,93290,QRUSZ
Growing cereals wheat barley and oilseed rape,1110,QRUTQ
Growing of cereals and other crops,1110,QRUTR
Growing of crops,1130,QRUTS
Growing of crops arable farming,1130,QRUTT
Market garden,1110,QRUTU
Aquatic plants grower,1190,QRUTV
Commercial nursery not retail growing young plants,1190,QRUTW
Cultivating mushrooms,1130,QRUTX
Flower growing and distribution,1190,QRUTY
Farming hop propagation and arable,1260,QRUTZ
Garden plant nursery,1130,QRUUQ
Growing and selling organic fruit and vegetables,1130,QRUUR
Growing mushrooms,1130,QRUUS
Growing nursery,1130,QRUUT
Growing rhododendrons for wholesale market,1190,QRUUU
Growing tomatoes,1130,QRUUV
Horticultural growers,1190,QRUUW
Horticulture growing,1130,QRUUX
Local authority nursery garden,1130,QRUUY
Garden nursery,1130,QRUUZ
Lawn turf suppliers,1190,QRUVQ
Market garden and training facility,1130,QRUVR
Market gardeners,1130,QRUVS
Mushroom farm,1130,QRUVT
Mushroom growers,1130,QRUVU
Nursery grower,1190,QRUVV
Plant nursery,1300,QRUVW
Plant nursery and market gardens,1300,QRUVX
Plant production landscaping,1300,QRUVY
Local authority nursery garden products,1130,QRUVZ
Propagation of shrubs for various outlets,1300,QRUWQ
Seed producers flowers,1190,QRUWR
Tomato growers,1130,QRUWS
Trial growing of vegetable seeds,1190,QRUWT
Turf farming,1190,QRUWU
Turf growers and golf course contractors,1190,QRUWV
Vegetable growers,1130,QRUWW
Vegetable growers and haulier,1130,QRUWX
Vegetable growers except potatoes,1130,QRUWY
Production nursery growing plants for own garden centres,1190,QRUWZ
Fruit growing,1240,QRUXQ
Growing of strawberries,1250,QRUXR
Pick your own fruit farm,1250,QRUXS
Artificial insemination of dairy beef cattle,1629,QRUXT
Beef farming,1420,QRUXU
Cattle,1420,QRUXV
Cattle breeding service,1420,QRUXW
Dairy farmers,1410,QRUXX
Farming of beef cattle,1420,QRUXY
Watercress grower,1130,QRUXZ
Organic dairy farm,1410,QRUYQ
Hill sheep farming,1450,QRUYR
Horse breeding,1430,QRUYS
Thoroughbred stud farm breeding racehorses for sale and private racing,1430,QRUYT
Farming of cattle pigs and cereals,1460,QRUYU
Pig breeding,1460,QRUYV
Pig farmers,1460,QRUYW
Pig production,1460,QRUYX
Pig unit,1460,QRUYY
Farming of cattle and sheep,1420,QRUYZ
Companies investing or dealing in shares,64991,QRUZQ
Occupational pensions,65300,QRUZR
Insurance brokers and agents and insurance activities not elsewhere specified,66220,QRUZS
Hiring out self drive cars,77110,QRUZT
Hiring out agricultural machinery,77310,QRUZU
Hiring out office equipment,77330,QRUZV
Hiring out consumer goods (not television sets),77299,QRUZW
Maintenance of office machinery and data processing equipment,95110,QRUZX
Accountants (chartered or incorporated),69201,QRUZY
Company credit grantor,64929,QRUZZ
Hatching eggs,1470,QRVQQ
Hatching of chicken eggs and moving them on to the farms,1470,QRVQR
Hatching of poultry,1470,QRVQS
Poultry breeding farm,1470,QRVQT
Poultry contractor,1470,QRVQU
Poultry farmer wholesaler and retailer of chicken eggs,1470,QRVQV
Poultry farmers,1470,QRVQW
Poultry farming agricultural contracting,1470,QRVQX
Poultry growers,1470,QRVQY
Hatchery,1470,QRVQZ
Poultry hatching egg production,1470,QRVRQ
Poultry rearing,1470,QRVRR
Rearing chicks,1470,QRVRS
Rearing of live poultry,1470,QRVRT
Turkey brood farm,1470,QRVRU
Turkey growing farm,1470,QRVRV
Turkey hatchery,1470,QRVRW
Turkey rearing farm,1470,QRVRX
Arable and pigs,1500,QRVRY
Poultry growers processors,1470,QRVRZ
Crofter,1500,QRVSQ
Growing of crops and farming of animals,1500,QRVSR
Agricultural,1610,QRVSS
Agricultural contractors and plant hire,1610,QRVST
Arboricultural consultancy,1610,QRVSU
Arboricultural services,1610,QRVSV
Car park garden maintenance,81300,QRVSW
Cleaning agricultural seeds,1640,QRVSX
Commercial and domestic landscaping,81300,QRVSY
Arable and stock farming,1500,QRVSZ
Commercial landscapers,81300,QRVTQ
Commercial landscaping services,81300,QRVTR
Crop consultants for the agricultural industry,1610,QRVTS
Crop protection specialists,1610,QRVTT
Crop spraying,1610,QRVTU
De-vegetation and weed control,1610,QRVTV
Erection of fences felling pruning and planting of trees and hedges landscaping,81300,QRVTX
Garden consultancy,81300,QRVTY
Commercial contract landscaping,81300,QRVTZ
Garden landscaping and maintenance,81300,QRVUQ
Garden maintenance contractor,81300,QRVUR
Garden services,81300,QRVUS
Gardener,81300,QRVUT
Gardener and housekeeper,81300,QRVUU
Gardening contractor,81300,QRVUV
Gardening services hedge and grass cutting,81300,QRVUW
Grading and packing of apples and pears,1630,QRVUX
Grading storage packing and marketing of potatoes,1630,QRVUY
Garden landscaping,81300,QRVUZ
Grass cutting and grounds maintenance,81300,QRVVQ
Grounds maintenance and landscape contractors,81300,QRVVR
Grounds maintenance for parks playing fields and open spaces,81300,QRVVS
Grounds maintenance section,81300,QRVVT
Soft landscaping planting care and maintenance of parks and gardens,81300,QRVVU
Interior landscaping gardening maintenance,81300,QRVVV
Landscape,81300,QRVVW
Landscape construction,81300,QRVVX
Landscape construction and grounds maintenance,81300,QRVVY
Grain drying storing and marketing cooperative products barley wheat and oilseed,1630,QRVVZ
Landscape contracting include site maintenance ground cultivation seeding planting turfing,81300,QRVWQ
Landscape contractor external works groundwork,81300,QRVWR
Landscape contractors,81300,QRVWS
Landscape design and construction,81300,QRVWT
Landscape gardener,81300,QRVWU
Landscape gardener tree work clearances landscape,81300,QRVWV
Landscape gardeners ground maintenance,81300,QRVWW
Landscape gardeners laying turf planting shrubs trees mulching,81300,QRVWX
Landscape gardening and garden maintenance,81300,QRVWY
Landscape contracting and tree surgery,81300,QRVWZ
Landscape maintenance,81300,QRVXQ
Landscape maintenance countryside management tree surgery,81300,QRVXR
Landscapers,81300,QRVXS
Landscapers nurserymen,81300,QRVXT
Landscaping,81300,QRVXU
Landscaping and fencing contractors,81300,QRVXV
Landscaping and grounds maintenance,81300,QRVXW
Landscaping and maintenance landscape design,81300,QRVXX
Landscaping and maintenance of private and commercial amenity areas,81300,QRVXY
Landscape gardening grounds maintenance tree work surgery agricultural activities may suppliers,81300,QRVXZ
Landscaping contractors,81300,QRVYQ
Landscaping services,81300,QRVYR
Landscaping tree and shrub planting and garden maintenance,81300,QRVYS
Lawn treatment service,81300,QRVYT
Maintenance of city trees,81300,QRVYU
Parks maintenance,81300,QRVYV
Pest and vermin control mainly on agricultural premises,1610,QRVYW
Soft landscaping,81300,QRVYX
Soft landscaping and grounds maintenance contractor,81300,QRVYY
Landscaping and refurbishment of golf courses to include seeding,81300,QRVYZ
Chicken farm,1470,QRVZQ
Chicken hatchery,1470,QRVZR
Commercial egg laying farm,1470,QRVZS
Duck breeding site,1470,QRVZT
Duck growing site,1470,QRVZU
Duck hatching,1470,QRVZV
Egg producers,1470,QRVZW
Growing of turkeys and egg production,1470,QRVZX
Growing of turkeys for processing,1470,QRVZY
Chick hatchery,1470,QRVZZ
Mare and foal sanctuary,1621,QRWQR
Registered charity providing shelter for stray animals finding new homes,1621,QRWQS
Animal sanctuary,1621,QRWQT
Animal husbandry,1629,QRWQU
Animal husbandry services,1629,QRWQV
Game keeper,1700,QRWQW
Game keeping,1700,QRWQX
Gamekeeper,1700,QRWQY
Animal welfare home for retired horses,1621,QRWQZ
Hunting and game propagation,1700,QRWRQ
Hunting trapping and game propagation including related service activities,1700,QRWRR
Pheasant and partridge shooting,1700,QRWRS
Shooting and fishing,1700,QRWRT
Shooting and fishing access,1700,QRWRU
Shooting estate and game farm deer and game rearing and sporting lets,1700,QRWRV
Agricultural contractor,1610,QRWRW
Arboricultural contractor,2100,QRWRX
Arboriculture - maintenance of trees and planting,2100,QRWRY
Arborists maintenance planting felling and growing trees,2100,QRWSQ
Christmas tree grower and supplier,1290,QRWSR
Commercial woodlands,2100,QRWSS
County forester,2100,QRWST
Foresters and administration,2100,QRWSU
Forestry,2100,QRWSV
Forestry and estate maintenance,2100,QRWSW
Forestry and landscaping,2100,QRWSX
Forestry and sawmilling suppliers,2100,QRWSY
Arboriculture contactors,2100,QRWSZ
Forestry contracting,2100,QRWTQ
Forestry contractors,2100,QRWTR
Forestry strimming construction of stone paths fencing,2100,QRWTS
Forestry timber growing and processing,2100,QRWTT
Forestry tree surgery clearance,2100,QRWTU
Forestry work,2100,QRWTV
General forestry,2100,QRWTW
General forestry and landscape work,2100,QRWTX
Growing and selling of real christmas trees,1290,QRWTY
Forestry conservation public rights of way,2100,QRWTZ
Harvesting and marketing of timber and conservation activities,2200,QRWUQ
Landscape tree specialists,2100,QRWUR
Timber felling logs,2200,QRWUS
Timber harvesting,2200,QRWUT
Tree felling,2200,QRWUU
Tree felling and forestry,2200,QRWUV
Tree management pruning felling planting,2100,QRWUW
Woodland management,2100,QRWUX
Woodland management timber marketing,2100,QRWUY
Growing willows for basket making,2100,QRWUZ
Coastal fishing,3110,QRWVR
Commercial fishing,3110,QRWVS
Commercial fishing repair and maintenance of agricultural and marine machinery also fabrication,3110,QRWVT
Deep sea fishing,3110,QRWVU
Fisherman,3110,QRWVW
Fisherman sea inland,3110,QRWVX
Fishermen,3110,QRWVY
Arboriculture services,2400,QRWVZ
Fishing sea inland,3110,QRWWQ
Pelagic trawler fishing for herring mackerel and blue whiting,3110,QRWWR
Produce shrimps in farms and supply to manufacture,3120,QRWWS
Salmon fishing,3120,QRWWT
Trawler fishing,3110,QRWWU
Fish farming fish development laboratory examinations of fish growth,3210,QRWWV
Growing and producing rainbow trout,3220,QRWWW
Marine hatchery,3210,QRWWX
Salmon farm,3210,QRWWY
Fishing company,3110,QRWWZ
Salmon hatchery,3220,QRWXQ
Salmon hatching,3220,QRWXR
Salmon on growing,3220,QRWXS
Salmon smolt rearing,3220,QRWXT
Salmon smolt rearing farm,3220,QRWXU
Shellfish farm,3210,QRWXV
Shellfish producers on growers,3210,QRWXW
Trout farm,3220,QRWXX
Trout fishery,3220,QRWXY
Salmon farming and primary processing,3220,QRWXZ
Colliery,5101,QRWYQ
Colliery non industrial staff,5101,QRWYR
Underground coal mining,5101,QRWYS
Coal recovery,5102,QRWYT
Coal recovery by washing,5102,QRWYU
Drilling contractor on open cast coal sites,5102,QRWYV
Drilling contractor on opencast coal sites,5102,QRWYW
Hard coal reclamation,5102,QRWYX
Open cast coal contractors,5102,QRWYY
Coal mine,5101,QRWYZ
Transport and spreading of bio solids on farmland,1610,QRWZQ
Tree surgeon,81300,QRWZR
Tree surgery,81300,QRWZS
Tree surgery and forestry contractor,2100,QRWZT
Tree surgery contract maintenance landscaping domestic and commercial,81300,QRWZU
Tree work planting felling pruning of amenity trees,81300,QRWZV
Utility arborists and tree surgeons,81300,QRWZW
Weed control landscaping,81300,QRWZX
Animal pound,1621,QRWZY
Soft landscaping to commercial sites,81300,QRWZZ
Plant operation oil,6100,QRXQQ
Production of oil and gas,6100,QRXQR
Offshore crane operation and maintenance,9100,QRXQS
Oil rig repair offshore,9100,QRXQT
Service activities incidental to oil and gas extraction {excluding surveying},9100,QRXQU
Crushed rock quarry,8110,QRXQV
Granite quarrying,8110,QRXQW
Manufactures of whinstone,8110,QRXQX
Quarries and suppliers of dimensional stone,8110,QRXQY
Oil exploration and production,6100,QRXQZ
Quarrying and sale of ham stone,8110,QRXRQ
Quarrying operations,8110,QRXRR
Stone quarry,8110,QRXRS
Chalk quarrying,8110,QRXRT
Gypsum mining,8110,QRXRU
Limestone crushing plant,8110,QRXRV
Limestone mining,8110,QRXRW
Limestone quarrying admin centre,8110,QRXRX
Manufacturer of calcined dolomitic lime,8110,QRXRY
Quarrying,8110,QRXRZ
Aggregate mineral extraction and processing,8120,QRXSR
Coated road stone production,8120,QRXSS
Dredging and wholesale of sand and aggregates,8120,QRXST
Dredging of marine aggregate,8120,QRXSU
Gravel extraction,8120,QRXSV
Gravel extraction and bagging operation,8120,QRXSW
Gravel pit,8120,QRXSX
Gravel production,8120,QRXSY
Mineral limestone quarry,8110,QRXSZ
Manufacture of lightweight aggregates,8120,QRXTQ
Manufacture of sand and gravel,8120,QRXTR
Manufacture sale of marine dredged aggregates,8120,QRXTS
Marine aggregate production,8120,QRXTU
Quarry coated road stone production,8120,QRXTV
Quarry gravel prod,8120,QRXTW
Quarry gravel production,8120,QRXTX
Quarrying and manufacture of coated road stone,8120,QRXTY
Manufacture of crushed stone,8120,QRXTZ
Sand and gravel excavation,8120,QRXUQ
Sand and gravel operators,8120,QRXUR
Sand and gravel producers,8120,QRXUS
Sand and gravel quarry,8120,QRXUT
Sand excavation,8120,QRXUU
Sand gravel processing,8120,QRXUV
Sand plant,8120,QRXUW
Sand washing plant,8120,QRXUX
Sand wharf,8120,QRXUY
Sand and gravel extraction,8120,QRXUZ
Ball clay extraction,8120,QRXVQ
Ball clay extraction and processing,8120,QRXVR
Ball clay production,8120,QRXVS
China clay drying,8120,QRXVT
China clay extraction,8120,QRXVU
China clay producers,8120,QRXVV
Mining of clay and kaolin,8120,QRXVW
White salt processing plant,8930,QRXVX
Industrial silica sand production,8990,QRXVY
Aggregate manufacture,8120,QRXVZ
Abattoir and meat wholesalers,10110,QRXWQ
Slaughterhouse,10110,QRXWR
Slaughterhouse gut room,10110,QRXWS
Slaughtering,10110,QRXWT
Animal by product processing,10110,QRXWU
Animal by products,10110,QRXWV
Collection manufacture of meal tallow extract,10110,QRXWW
Manufacture sausage skins central admin office,10110,QRXWX
Red meat boning plant,10110,QRXWY
Abattoir,10110,QRXWZ
Sheep and hog intestine for natural sausage casings,10110,QRXXQ
Fellmongers,10110,QRXXR
Poultry processing,10120,QRXXS
Poultry processors,10120,QRXXT
Poultry production,1470,QRXXU
Poultry slaughter and processing,10120,QRXXV
Bacon and pork production,10130,QRXXW
Bacon curing,10130,QRXXX
Bacon factory,10130,QRXXY
Sausage casing manufacturers natural,10110,QRXXZ
Bacon slicers and packers,10130,QRXYQ
Curing pork legs,10130,QRXYR
Ham production,10130,QRXYS
Beef burger manufacture,10130,QRXYT
Burger manufacturer,10130,QRXYV
Cooked meat manufacture,10130,QRXYW
Cooked meat processors,10130,QRXYX
Food manufacture added value poultry products,10850,QRXYY
Bacon processing,10130,QRXYZ
Opencast coal mining,5102,QRXZS
Opencast coalmining,5102,QRXZT
Surface coal mining,5102,QRXZU
Manufacture of coal briquettes,19201,QRXZV
Manufacture of smokeless and non smokeless anthracite briquettes,19201,QRXZW
Peat producers,8920,QRXZX
Peat production and manufacture,8920,QRXZY
Manufacture pork products,10130,QRYQQ
Meat manufacturing,10130,QRYQR
Producers of cooked meats,10130,QRYQS
Sausages food processing manufactures,10130,QRYQV
Venison processing,10130,QRYQW
Wholesale sandwich maker,10890,QRYQX
Manufacture of sandwiches with a meat and/or poultry filling,10890,QRYQY
Manufacture pies cooked meats and sausages,10130,QRYQZ
Freezing of fish and cold storage also processing of fish,10200,QRYRR
Grading packing and freezing of whole prawns monkfish and other fish in bulk and retail packaging,10200,QRYRS
Fish packers processors freezing,10200,QRYRT
Cleansing processing and distribution of seafood molluscs,10200,QRYRU
Fish curing,10200,QRYRV
Fish processing,10200,QRYRW
Fish processing and preserving,10200,QRYRX
Fish processing factory,10200,QRYRY
Manufacture of sandwiches,10890,QRYRZ
Manufacturer of marinated herring,10200,QRYSQ
Peeling and preparing shellfish for food industries,10200,QRYSR
Salmon processing,10200,QRYSS
Salmon smokers curers,10200,QRYST
Shellfish processing,10200,QRYSU
Storing live shellfish,10200,QRYSV
Manufacture of sandwiches with a fish filling,10890,QRYSW
Fish smokers and processors,10200,QRYSX
Fish packers processors (not freezing),10200,QRYSY
Fish processor,10200,QRYSZ
Crisp manufacturer central admin office,10310,QRYTQ
Food manufacturer potato and vegetable products,10310,QRYTR
Frozen potato product manufacturers,10310,QRYTS
Manufacturer of frozen french fries,10310,QRYTU
Manufacture of juice based beverages,10320,QRYTV
Banana ripeners,10390,QRYTW
Banana ripening,10390,QRYTX
Banana ripening and distributors,10390,QRYTY
Fish curers,10200,QRYTZ
Edible nut dried fruit processors,10390,QRYUQ
Fruit processing,10390,QRYUR
Manufacture and process of mixed fruit and nuts,10390,QRYUS
Manufacture of preserves,10390,QRYUT
Manufacture of preserves and mincemeat,10390,QRYUU
Onion processors,10390,QRYUV
Processing and preservation of fruit and vegetables,10390,QRYUW
Processing of edible nuts,10390,QRYUX
Ripening and distribution of fruit,10390,QRYUY
Banana ripening rooms,10390,QRYUZ
Vegetable processing,10390,QRYVQ
Vegetable processors,10390,QRYVR
Manufacture of sandwiches with a vegetable filling,10890,QRYVS
Oilseeds processing,10410,QRYVT
Oilseeds processing soybean and rapeseed crush,10410,QRYVU
Seed crushing edible oil refining,10410,QRYVV
Refining and packing of edible oils and fats,10410,QRYVW
Refining and packing of edible oils and fats sales and administration office,10410,QRYVX
Regional office for edible oil refiners,10410,QRYVY
Vegetable freezing,10390,QRYVZ
Liquid milk production,10511,QRYWQ
Manufacture of raw milk into cream and skim milk products,10511,QRYWR
Milk processing,10511,QRYWS
Processing dairy,10511,QRYWT
Uht milk production,10511,QRYWU
Cheese makers,10512,QRYWV
Cheese maturers and wholesalers,10512,QRYWW
Cheese production,10512,QRYWX
Cheese butter whey protein evaporated milk production,10512,QRYWY
Manufactures of margarine vegetables oil products,10420,QRYWZ
Manufacture cheese spread,10512,QRYXQ
Manufacture of farmhouse cheddar cheese,10512,QRYXR
Manufacture of sandwiches with a cheese filling,10890,QRYXS
Food manufacturer milk products,10519,QRYXT
Food manufactures milk products,10519,QRYXU
Producers of yogurt,10519,QRYXV
Ice cream production,10520,QRYXW
Manufacture ice cream frozen sweet,10520,QRYXX
Manufacture of dairy ice cream,10520,QRYXY
Manufacture and distributor cheese products,10512,QRYXZ
Flour millers,10611,QRYYQ
Flour milling,10611,QRYYR
Flour milling and regional office,10611,QRYYS
Manufacture of culinary flours,10611,QRYYT
Breakfast cereal production,10612,QRYYU
Cereal manufacturers,10612,QRYYV
Food manufacture of cereals and health food breakfast snacks,10612,QRYYW
Food manufacture of cereals and healthy food breakfast cereals - head office,10612,QRYYX
Manufacture of human food cereals,10612,QRYYY
Feed milling,10611,QRYYZ
Frozen meat processors,10130,QRYZQ
Haggis makers,10130,QRYZR
Manufacture beef and pork sausages and meat products,10130,QRYZS
Manufacture beef products,10130,QRYZT
Manufacture of chilled ready meals,10850,QRYZV
Manufacture of frozen sausages and burgers,10130,QRYZW
Manufacture pastry based meat products and meat products,10850,QRYZY
Frozen curry manufacture,10850,QRYZZ
Whisky distillers and visitors reception centre,11010,QSQQQ
Whisky vatting,11010,QSQQR
Cider manufacture,11030,QSQQS
Cider perry and made wine maker,11030,QSQQT
Brewers,11050,QSQQU
Brewers of beer,11050,QSQQV
Brewery,11050,QSQQW
Brewery and registered office,11050,QSQQX
Brewery production of beer for resale,11050,QSQQY
Whisky distillers and research lab,11010,QSQQZ
Brewing and packaging of beer,11050,QSQRQ
Brewing beers,11050,QSQRR
Brewing bottling,11050,QSQRS
Brewing real ale,11050,QSQRT
Admin prod sale and dist of beer,11050,QSQRV
Distribution of soft drinks,46341,QSQRW
Malt for brewing,11060,QSQRX
Malt production,11060,QSQRY
Brewing,11050,QSQRZ
Malting of barley,11060,QSQSQ
Maltsters,11060,QSQSR
Manufacture of malt and fruit loaves,11060,QSQSS
Producing malt from barley,11060,QSQST
Mineral water producers,11070,QSQSU
