description,label,bridge 
Glazing of baths,25610,XAAMD
Offshore rescue and recovery vessel provision,52220,XAAME
Wholesale of castors and wheels,46470,XAAMP
Production of recipes,77400,XAAMT
Wholesale parts for off shore platforms and oil rigs,46690,XAAMX
Wholesale of promotional merchandise,46499,XAAMY
Manufacture of pet hygeine products,32910,XAAMZ
Energy derivative trading company,46719,XAANA
Sales agent,46190,XAANB
Repair and maintenance of vehicle marine and aviation air conditioning,45200,XAANC
Charitable administration,88990,XAAND
Stables,93199,XAANE
Horse livery stables,1621,XAANP
It services,95110,XAANT
Achievement,88990,XAANX
Communities,84110,XAANY
Carsales,45111,XAAXA
Retailer,47190,XAAXB
Retailers,47190,XAAXC
Fashion retail,47710,XAAXD
Bed and breakfast,55209,XAAXE
Market trader,47890,XAAXP
Retail shop,47789,XAAXT
Retail,47190,XAAXX
Retailing,47190,XAAXY
Retail branch,47190,XAAXZ
Social club,56301,XAAZA
Pub,56302,XAAZB
Distribution,52103,XAAZC
Finance,66190,XAAZD
Schools,85200,XAAZE
School,85200,XAAZP
Financial support services,70221,XAAZT
Working men's club,56301,XAAZX
Distribution centre,52103,XAAZY
Pubs,56302,XAAZZ
Investment company,64304,XABAA
Freight transport,49410,XABAB
